shadow_condition,agent,horizon_awareness,opponent_modeling
0.1,GPT4o_T1_p5i1,0.9742489270386266,1.0
0.1,GPT5_T1_p5i1,0.75,0.9946808510638298
0.1,Claude4-Sonnet_T02_p5i1,1.0,1.0
0.1,Claude4-Sonnet_T05_p5i1,0.9953703703703703,1.0
0.1,Claude4-Sonnet_T08_p5i1,0.99644128113879,1.0
0.1,Gemini25Pro_T02_p5i1,0.9770114942528736,1.0
0.1,Gemini25Pro_T07_p5i1,0.9636363636363636,1.0
0.1,Gemini25Pro_T12_p5i1,0.9346153846153846,1.0
0.1,GPT4o_T1,0.987012987012987,1.0
0.1,GPT5_T1,0.8307692307692308,1.0
0.1,Claude4-Sonnet_T02,0.9836065573770492,1.0
0.1,Claude4-Sonnet_T05,1.0,1.0
0.1,Claude4-Sonnet_T08,1.0,1.0
0.1,Gemini25Pro_T02,1.0,1.0
0.1,Gemini25Pro_T07,0.9361702127659575,1.0
0.1,Gemini25Pro_T12,0.9609375,1.0
0.1,GPT4o_T1,0.9787234042553191,1.0
0.1,GPT5_T1,0.8045977011494253,1.0
0.1,Claude4-Sonnet_T02,1.0,1.0
0.1,Claude4-Sonnet_T05,1.0,1.0
0.1,Claude4-Sonnet_T08,1.0,1.0
0.1,Gemini25Pro_T02,1.0,1.0
0.1,Gemini25Pro_T07,0.9166666666666666,1.0
0.1,Gemini25Pro_T12,0.96,1.0
0.1,GPT4o_T1,0.984375,1.0
0.1,GPT5_T1,0.6774193548387096,1.0
0.1,Claude4-Sonnet_T02,1.0,1.0
0.1,Claude4-Sonnet_T05,1.0,1.0
0.1,Claude4-Sonnet_T08,1.0,1.0
0.1,Gemini25Pro_T02,0.9902912621359223,1.0
0.1,Gemini25Pro_T07,0.9574468085106383,1.0
0.1,Gemini25Pro_T12,1.0,1.0
