Strategy,Category,Phase 1,Phase 2,Phase 3,Phase 4,Phase 5,Overall Mean,Std Dev,Min,Max
GradientMetaLearner,Adaptive,2.5877,2.3468,2.5000,2.6486,2.7769,2.5720,0.1442,2.3468,2.7769
QLearning,Adaptive,2.5217,2.5672,2.6875,2.8000,2.6477,2.6448,0.0970,2.5217,2.8000
ThompsonSampling,Adaptive,2.6311,2.4727,2.5221,2.4769,2.5286,2.5263,0.0571,2.4727,2.6311
Claude4-Sonnet_T02,Anthropic,2.3719,2.7544,2.5000,2.6124,2.6471,2.5771,0.1309,2.3719,2.7544
Claude4-Sonnet_T05,Anthropic,2.4775,2.6146,2.6486,2.7791,2.6286,2.6297,0.0960,2.4775,2.7791
Claude4-Sonnet_T08,Anthropic,2.5743,2.6018,2.8190,2.5154,2.3710,2.5763,0.1452,2.3710,2.8190
Alternator,Classical,2.6735,2.5647,2.8721,2.5290,2.3750,2.6029,0.1651,2.3750,2.8721
Bayesian,Classical,2.7207,2.6850,2.6195,2.6810,2.7182,2.6849,0.0366,2.6195,2.7207
Detective,Classical,2.6737,2.8835,2.5464,2.8020,2.7586,2.7328,0.1152,2.5464,2.8835
ForgivingGrimTrigger,Classical,2.8929,2.8125,2.6264,2.6277,2.7941,2.7507,0.1063,2.6264,2.8929
GenerousTitForTat,Classical,2.5932,2.5818,2.7670,2.7156,2.6882,2.6692,0.0714,2.5818,2.7670
Gradual,Classical,2.8085,2.7611,2.5472,2.5732,2.7019,2.6784,0.1026,2.5472,2.8085
GrimTrigger,Classical,2.7778,2.8046,2.6100,2.8137,2.6286,2.7269,0.0889,2.6100,2.8137
Prober,Classical,2.8000,2.8654,2.8676,2.6627,2.4022,2.7196,0.1753,2.4022,2.8676
Random,Classical,2.6343,2.6277,2.6442,2.4227,2.6960,2.6050,0.0943,2.4227,2.6960
SoftGrudger,Classical,2.6905,2.6837,2.7033,2.6552,2.7217,2.6909,0.0221,2.6552,2.7217
SuspiciousTitForTat,Classical,2.8679,2.6500,3.0000,2.8667,3.0941,2.8957,0.1498,2.6500,3.0941
TitForTat,Classical,2.7024,2.6613,2.5333,2.7760,2.7023,2.6751,0.0799,2.5333,2.7760
WinStayLoseShift,Classical,2.8304,2.6040,2.4824,2.7564,2.7903,2.6927,0.1301,2.4824,2.8304
Gemini25Pro_T02,Gemini,2.6441,2.6393,2.7091,2.5000,2.8962,2.6777,0.1288,2.5000,2.8962
Gemini25Pro_T07,Gemini,2.6625,2.6455,2.6774,2.7016,2.5161,2.6406,0.0649,2.5161,2.7016
Gemini25Pro_T12,Gemini,2.6767,2.7477,2.7168,2.6526,2.6476,2.6883,0.0385,2.6476,2.7477
Mistral-Large_T02,Mistral,2.5041,2.6271,2.6415,2.3295,2.1014,2.4407,0.2033,2.1014,2.6415
Mistral-Large_T07,Mistral,2.1346,2.3426,2.6444,2.5872,2.7872,2.4992,0.2321,2.1346,2.7872
Mistral-Large_T12,Mistral,2.4348,2.6080,2.2034,2.5897,2.3617,2.4395,0.1502,2.2034,2.6080
GPT4o_T1,OpenAI,2.6835,2.4414,2.6790,2.5301,2.6981,2.6064,0.1026,2.4414,2.6981
GPT5_T1,OpenAI,2.5978,2.6442,2.5282,2.5229,2.7265,2.6039,0.0761,2.5229,2.7265
o3_T1,OpenAI,2.7000,2.3878,2.6694,2.6064,2.6757,2.6078,0.1143,2.3878,2.7000
