Strategy,Category,Phase 1,Phase 2,Phase 3,Phase 4,Phase 5,Overall Mean,Std Dev,Min,Max
GradientMetaLearner,Adaptive,2.4542,2.3081,2.2968,2.1000,2.9504,2.4219,0.2873,2.1000,2.9504
QLearning,Adaptive,2.5017,2.5663,2.3538,2.6179,2.1660,2.4411,0.1637,2.1660,2.6179
ThompsonSampling,Adaptive,2.1379,2.4279,2.2183,2.3367,2.4118,2.3065,0.1122,2.1379,2.4279
Claude4-Sonnet_T02,Anthropic,2.3460,2.6450,2.7952,2.8562,2.7594,2.6804,0.1808,2.3460,2.8562
Claude4-Sonnet_T05,Anthropic,2.5720,2.8061,2.7273,2.7687,2.6250,2.6998,0.0880,2.5720,2.8061
Claude4-Sonnet_T08,Anthropic,2.6688,2.6745,2.7562,2.7310,2.7117,2.7085,0.0332,2.6688,2.7562
Alternator,Classical,2.3494,1.8784,2.1765,2.1775,2.4879,2.2139,0.2043,1.8784,2.4879
Bayesian,Classical,2.4296,2.7419,2.7234,2.7209,2.7220,2.6676,0.1192,2.4296,2.7419
Detective,Classical,2.4836,2.4510,2.4080,2.3444,2.4704,2.4315,0.0505,2.3444,2.4836
ForgivingGrimTrigger,Classical,2.3228,2.7243,2.6106,2.7353,2.9478,2.6682,0.2042,2.3228,2.9478
GenerousTitForTat,Classical,2.6815,2.5659,2.7491,2.6459,2.6730,2.6631,0.0593,2.5659,2.7491
Gradual,Classical,2.2717,2.5825,2.7098,2.6747,2.5441,2.5566,0.1546,2.2717,2.7098
GrimTrigger,Classical,2.1733,2.8085,2.7261,2.8708,2.8545,2.6866,0.2616,2.1733,2.8708
Prober,Classical,2.4673,2.4642,2.2703,2.5535,2.7342,2.4979,0.1502,2.2703,2.7342
Random,Classical,2.5425,2.2914,2.2080,2.2238,2.4907,2.3513,0.1388,2.2080,2.5425
SoftGrudger,Classical,2.7181,2.6964,2.7857,2.7041,2.6954,2.7199,0.0339,2.6954,2.7857
SuspiciousTitForTat,Classical,2.4057,2.5709,2.6554,2.5152,2.5942,2.5483,0.0843,2.4057,2.6554
TitForTat,Classical,2.4310,2.7380,2.8197,2.7463,2.8193,2.7109,0.1442,2.4310,2.8197
WinStayLoseShift,Classical,2.4924,2.7599,2.9126,2.7867,2.8470,2.7597,0.1436,2.4924,2.9126
Gemini25Pro_T02,Gemini,2.7313,2.6980,2.7595,2.6526,2.7663,2.7215,0.0421,2.6526,2.7663
Gemini25Pro_T07,Gemini,2.6283,2.8091,2.7046,2.7950,2.7394,2.7353,0.0655,2.6283,2.8091
Gemini25Pro_T12,Gemini,2.5777,2.5921,2.7810,2.7338,2.6846,2.6739,0.0789,2.5777,2.7810
Mistral-Large_T02,Mistral,2.3836,2.3682,2.3663,2.0051,1.7657,2.1778,0.2505,1.7657,2.3836
Mistral-Large_T07,Mistral,2.3103,2.7106,2.4834,2.3302,2.0562,2.3782,0.2155,2.0562,2.7106
Mistral-Large_T12,Mistral,2.4352,2.4602,2.6964,2.5261,2.1368,2.4510,0.1816,2.1368,2.6964
GPT4o_T1,OpenAI,2.7246,2.7978,2.5864,2.6042,2.6309,2.6688,0.0802,2.5864,2.7978
GPT5_T1,OpenAI,2.5104,2.8252,2.7098,2.8297,2.7154,2.7181,0.1159,2.5104,2.8297
o3_T1,OpenAI,2.6734,2.7279,2.6459,2.8008,2.8034,2.7303,0.0643,2.6459,2.8034
